product_master_id,artist_id,artist_name,product_id,product_name,version_id,version_name,member_id,member_name,card_type,card_detail,release_date,visual_features,front_image_url,back_image_url
PM00098,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000003,JOSHUA,photocard,photocard 1,2017/02/07,,,
PM00099,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000003,JOSHUA,photocard,photocard 2,2017/02/07,,,
PM00100,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000003,JOSHUA,photocard,photocard 3,2017/02/07,,,
PM00101,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000004,JUN,photocard,photocard 1,2017/02/07,,,
PM00102,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000004,JUN,photocard,photocard 2,2017/02/07,,,
PM00103,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000004,JUN,photocard,photocard 3,2017/02/07,,,
PM00104,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000005,HOSHI,photocard,photocard 1,2017/02/07,,,
PM00105,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000005,HOSHI,photocard,photocard 2,2017/02/07,,,
PM00106,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000005,HOSHI,photocard,photocard 3,2017/02/07,,,
PM00107,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000006,WONWOO,photocard,photocard 1,2017/02/07,,,
PM00108,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000006,WONWOO,photocard,photocard 2,2017/02/07,,,
PM00109,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000006,WONWOO,photocard,photocard 3,2017/02/07,,,
PM00110,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000007,WOOZI,photocard,photocard 1,2017/02/07,,,
PM00111,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000007,WOOZI,photocard,photocard 2,2017/02/07,,,
